rowIndex,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18
0,0.071,224,4,1,1,27,2,37,0,68,5,4,4,3,5,2,19,1
1,0.416,292,3,1,0,32,1,49,0,50,5,14,2,1,9,5,8,2
2,0.786,504,2,0,0,39,0,62,0,50,5,8,2,1,5,2,16,2
3,0.749,278,5,1,0,34,1,44,1,68,5,8,4,3,6,4,20,1
4,0.232,211,5,0,0,32,1,37,0,64,5,11,4,3,5,2,8,1
5,0.297,59,0,1,0,32,1,34,0,81,5,12,4,3,7,4,17,1
6,0.2,482,2,1,0,32,2,60,0,50,5,12,2,1,7,3,12,0
7,0.083,432,1,1,0,32,3,62,0,50,8,11,2,1,3,0,19,1
8,0.419,119,8,0,1,32,1,31,0,100,5,4,4,3,3,2,15,1
9,0.837,356,3,0,0,32,0,52,1,50,2,4,5,3,1,1,15,1
10,0.75,486,1,1,0,32,0,58,0,50,5,13,4,3,7,5,17,1
11,0.047,95,5,0,0,32,1,26,0,68,5,6,4,3,6,2,7,1
12,0.833,267,4,1,0,32,1,40,0,90,4,13,2,1,4,3,10,1
13,0.566,198,7,0,1,32,1,34,0,50,5,8,4,3,5,4,13,0
14,0.75,106,5,1,1,32,1,27,0,95,5,6,4,3,6,2,2,1
15,0.749,84,2,0,0,20,0,37,0,119,1,9,4,3,8,2,16,1
16,0.422,26,6,1,1,34,1,25,0,95,5,6,4,3,4,4,12,1
17,0.499,412,8,0,0,39,0,71,0,55,5,7,4,3,7,2,10,1
18,0.002,160,7,0,1,32,1,31,0,100,5,3,4,3,3,2,17,2
19,0.083,153,6,1,1,32,0,31,0,57,5,3,4,3,3,1,18,1
20,0.531,291,7,0,0,34,1,45,0,50,5,7,4,3,5,4,14,1
21,0.56,198,0,1,1,32,0,35,0,90,1,15,4,3,9,5,15,2
22,0.083,418,2,1,0,32,1,65,0,50,5,7,4,3,5,2,14,1
23,0.14,293,1,0,0,32,1,44,0,59,2,4,5,3,1,1,18,1
24,1,302,6,1,0,29,2,51,0,50,8,11,4,1,0,0,18,1
25,0.949,546,2,1,0,32,2,63,0,50,5,9,4,3,7,2,14,1
26,0.617,420,8,1,0,32,2,53,0,85,5,13,4,3,8,3,15,1
27,0.25,462,8,0,0,0,2,57,0,50,5,0,1,3,1,1,14,1
28,0.028,79,2,1,0,32,1,27,0,76,5,10,2,1,6,4,16,0
29,0.166,289,5,0,0,32,0,42,1,50,5,3,4,3,4,2,17,0
30,0.062,498,5,1,0,32,1,61,0,50,5,11,4,3,8,5,12,1
31,0.166,134,7,1,0,32,1,32,0,60,5,6,4,1,3,2,20,1
32,0.799,273,7,1,1,32,1,42,0,68,6,11,4,3,4,5,16,0
33,0.411,75,3,0,0,34,1,24,0,72,5,9,4,3,8,4,17,0
34,0.278,143,0,0,1,32,0,31,1,95,5,5,4,3,4,2,16,1
35,0.042,294,1,0,0,32,1,46,0,50,5,9,4,3,4,2,9,1
36,0.666,243,2,1,0,0,2,39,0,64,4,16,4,3,8,3,11,2
37,0.083,311,2,1,1,32,1,44,0,50,1,14,5,3,9,3,7,0
38,0.403,166,0,0,1,32,1,36,0,64,5,6,4,3,5,2,17,1
39,0.666,79,4,1,0,32,0,46,0,95,7,6,4,3,3,2,13,1
40,0.666,145,0,1,1,32,1,31,0,125,1,9,4,3,6,2,19,1
41,0.083,831,5,0,0,39,0,87,1,50,5,5,4,3,4,2,17,0
42,0.288,17,7,1,0,32,0,27,0,100,5,10,4,1,5,5,20,0
43,1,220,7,1,0,32,0,40,0,50,5,12,4,3,7,5,14,1
44,0.249,224,4,1,1,32,1,37,0,57,5,4,4,3,4,2,12,2
45,0.916,649,3,0,1,39,0,73,1,132,5,5,4,3,4,2,15,1
46,0.916,103,7,1,1,32,1,27,0,100,5,6,4,3,3,2,17,1
47,0.583,496,1,1,0,44,0,73,0,50,6,12,2,1,4,5,17,2
48,0.319,666,6,1,0,39,0,73,0,50,5,11,5,1,5,5,18,1
49,1,319,3,0,0,27,0,45,0,50,7,9,2,1,6,4,14,1
50,0.233,156,2,1,0,32,1,31,0,51,7,12,2,1,7,5,13,1
51,0.103,164,1,0,0,32,1,31,0,95,7,15,5,3,8,3,7,0
52,0.31,144,6,1,1,32,0,30,0,64,5,4,4,3,3,1,4,1
53,0.25,307,8,1,0,32,1,52,0,50,5,1,1,3,2,2,19,1
54,0.416,493,4,0,0,39,0,69,0,50,5,3,4,3,3,1,12,1
55,0.841,556,3,1,0,32,1,66,0,50,5,8,4,3,6,5,14,1
56,0.083,118,7,1,1,10,1,28,0,80,5,5,4,3,4,4,5,1
57,0.842,394,8,1,1,32,1,55,0,50,5,5,1,3,4,2,13,1
58,0.5,195,8,0,0,32,0,36,1,68,5,3,1,3,2,2,20,1
59,0.307,372,1,1,0,32,2,49,0,50,7,13,2,1,8,5,13,1
60,0.002,170,0,1,0,32,1,33,0,72,5,8,2,1,4,2,7,0
61,0.4,120,0,1,0,32,2,29,0,54,5,9,2,1,4,4,8,1
62,0.853,233,2,1,0,32,1,38,0,85,4,10,4,3,6,5,7,1
63,0.25,309,0,1,0,32,2,51,0,50,3,14,2,1,5,3,11,1
64,0.416,720,8,0,0,39,0,81,0,50,5,5,1,3,3,4,8,1
65,0.178,214,7,0,1,32,1,38,0,50,5,3,4,3,2,2,12,1
66,0.177,71,7,1,1,10,1,23,0,100,5,4,4,3,3,2,5,1
67,1,599,4,1,0,39,0,68,0,50,5,10,4,3,8,5,16,1
68,0.583,408,8,0,1,34,1,85,1,50,5,3,1,3,2,2,11,1
69,0.749,413,5,1,0,32,2,56,0,95,5,13,2,1,7,5,19,1
70,0.75,422,7,1,0,5,1,53,0,50,5,5,2,1,4,2,10,1
71,0.743,403,8,0,0,34,1,53,0,95,5,1,1,3,2,2,5,1
72,0.916,194,3,1,0,34,1,37,0,95,5,10,4,3,7,5,13,1
73,0.45,402,0,0,0,39,0,66,0,50,2,13,2,1,8,5,17,0
74,0.2,454,2,1,0,32,0,57,0,85,5,9,4,3,7,2,7,1
75,0.833,137,8,1,0,32,0,29,1,68,1,11,4,3,7,3,15,1
76,0.003,71,7,1,0,32,1,33,0,100,8,5,4,1,1,4,18,1
77,0.061,172,6,1,0,32,1,38,0,54,5,6,5,1,4,4,13,1
78,0.749,242,8,1,0,32,0,39,1,60,5,9,4,3,7,5,11,2
79,0.166,297,2,1,0,32,0,44,0,50,4,9,4,3,6,4,12,1
80,0.916,73,2,0,1,10,1,24,0,85,5,5,4,3,4,2,17,0
81,0.833,287,2,1,0,32,0,43,0,50,4,9,4,3,6,4,12,1
82,0.041,214,8,0,0,32,1,36,1,50,5,0,1,3,0,2,13,1
83,0.583,70,6,1,1,27,0,26,0,85,5,3,4,3,3,1,15,1
84,0.666,179,5,0,0,29,2,33,0,76,3,10,2,1,5,4,14,1
85,0.042,147,1,1,0,32,1,31,0,72,5,10,2,1,6,4,12,1
86,0.237,418,2,1,0,44,1,56,0,72,5,11,2,1,5,2,6,1
87,0.833,62,1,1,0,32,0,31,0,85,1,12,4,3,8,4,16,2
88,0.286,591,3,1,0,39,0,68,0,50,2,5,5,3,1,1,5,1
89,0.833,243,6,1,0,32,1,50,0,64,4,13,5,1,3,3,15,2
90,0.057,157,0,1,0,32,2,36,0,60,6,17,2,1,4,3,12,2
91,0.827,93,0,1,1,32,1,33,0,100,2,3,5,3,1,1,18,1
92,0.166,324,7,0,1,32,0,53,0,50,5,6,4,3,5,2,20,1
93,0.749,245,2,0,1,32,0,39,0,50,5,6,4,3,7,2,20,1
94,0.083,404,7,1,0,29,2,53,0,50,8,9,4,1,0,0,11,1
95,0.249,243,0,0,0,20,0,38,1,50,5,5,4,3,5,1,15,0
96,0.583,510,3,0,0,32,0,64,0,85,5,12,2,1,7,5,15,1
97,0.394,141,4,1,0,32,1,31,0,80,5,9,4,3,7,4,8,1
98,0.083,97,8,1,1,10,1,26,0,80,8,4,4,1,3,2,7,1
99,0.439,368,3,1,0,39,0,76,1,61,7,9,4,3,8,4,19,1
100,0.166,449,3,0,0,29,2,56,0,50,4,13,2,1,4,3,7,1
101,0.002,212,0,1,0,27,1,42,0,64,8,11,2,1,3,0,10,1
102,0.845,177,4,0,1,32,1,33,0,54,5,5,4,3,5,2,12,1
103,0.416,115,3,1,1,32,1,27,0,76,5,4,4,3,3,2,15,1
104,0.333,394,4,1,1,32,1,51,0,50,5,6,4,3,5,2,4,1
105,1,325,2,0,1,32,1,45,0,60,5,4,4,3,4,1,5,1
106,0.577,146,0,1,0,32,1,33,0,54,3,9,4,3,6,4,16,1
107,0.155,546,0,1,0,39,0,63,1,50,5,11,4,3,6,2,16,0
108,0.419,286,8,1,0,32,2,53,0,50,8,12,5,1,1,0,11,1
109,0.499,193,8,1,0,20,0,47,0,61,5,8,1,3,6,5,8,1
110,0.25,109,1,1,0,32,2,27,0,85,5,7,4,3,6,2,17,0
111,0.05,422,8,1,0,32,1,61,1,50,5,12,4,3,7,5,11,1
112,0.468,255,5,1,0,25,1,42,0,72,6,12,4,3,4,3,8,2
113,0.916,127,6,0,1,32,1,33,0,57,5,4,4,3,3,2,15,1
114,0.499,146,3,1,0,32,1,30,0,76,5,11,2,1,5,2,12,1
115,0.113,233,6,1,0,32,1,38,0,50,5,7,4,3,6,4,10,1
116,0.503,129,1,1,1,32,0,29,1,58,1,12,4,3,8,4,16,1
117,0.374,106,0,1,0,34,1,30,0,60,1,13,2,1,7,4,13,2
118,0.259,399,0,1,1,32,1,57,0,50,5,6,2,1,4,2,18,1
119,0.525,603,2,1,0,39,0,75,1,64,1,11,4,3,7,4,15,0
120,0.256,548,1,0,0,39,0,64,0,50,6,17,4,3,6,3,4,0
121,0.249,324,7,1,0,39,0,79,1,50,5,6,4,3,5,4,15,1
122,0.222,155,7,0,0,34,0,33,1,68,5,1,4,3,2,2,9,1
123,0.436,430,8,1,0,0,0,54,0,50,2,22,4,3,9,3,18,0
124,0.583,369,1,0,0,0,2,50,0,50,5,9,4,3,6,4,12,0
125,0.083,116,2,1,1,32,1,32,0,90,5,7,2,1,4,2,17,1
126,0.303,159,8,1,0,34,1,32,1,54,2,20,4,3,9,3,6,0
127,0.23,263,7,1,0,32,1,47,0,50,4,12,4,3,4,3,12,1
128,0.749,200,0,1,0,32,1,35,0,50,2,10,4,3,8,4,11,0
129,0.333,83,8,0,0,0,2,30,0,80,5,3,1,3,3,2,11,1
130,0.666,311,8,1,0,32,0,44,0,50,1,20,4,3,8,3,9,2
131,0.728,311,3,0,0,20,0,44,0,50,5,10,4,3,7,4,16,1
132,0.249,240,3,0,0,32,2,39,0,64,5,6,4,3,6,2,15,1
133,0.833,28,4,0,0,10,1,26,0,100,7,6,4,3,6,4,11,1
134,0.25,488,3,1,0,32,0,59,0,96,5,10,4,3,6,4,20,1
135,0.345,405,0,1,0,44,1,52,0,50,5,6,4,3,4,1,16,1
136,0.166,270,6,1,0,32,1,45,0,68,7,10,5,1,4,5,19,1
137,0.304,104,3,1,0,32,0,27,1,80,5,7,4,3,7,2,19,1
138,1,187,6,1,0,32,1,33,0,51,4,11,5,1,4,5,13,1
139,0.535,264,0,1,0,32,1,40,0,50,7,12,2,1,7,5,12,1
140,0.297,195,7,1,0,0,2,43,0,76,7,11,4,3,7,5,1,2
141,0.419,107,7,0,0,32,0,32,0,95,5,8,4,3,5,4,3,0
142,0.5,302,1,0,0,34,1,44,0,50,5,6,2,1,4,2,13,1
143,0.499,714,5,1,0,39,0,80,0,57,5,16,4,3,9,3,8,2
144,0.539,309,8,1,1,32,0,45,1,64,5,9,4,3,7,4,15,1
145,0.674,176,6,1,0,32,1,33,0,79,8,5,4,1,4,2,5,1
146,0.833,130,7,0,0,32,1,30,1,64,5,3,4,3,2,1,18,1
147,0.43,367,0,1,0,32,1,50,0,60,5,10,4,3,8,5,12,2
148,0.113,296,8,0,1,32,1,44,0,100,5,8,4,1,4,5,18,1
149,0.002,129,3,0,0,34,1,30,0,85,5,8,4,3,8,2,8,1
150,0.311,202,7,1,1,32,1,39,0,64,5,8,4,3,4,4,19,1
151,0.666,277,7,0,0,32,1,43,0,50,7,4,4,3,2,4,19,1
152,0.499,681,8,1,0,29,2,77,0,58,8,7,1,3,5,5,6,1
153,0.166,149,3,0,1,0,2,31,0,76,5,4,4,3,4,2,8,0
154,0.416,137,6,0,1,32,0,29,0,90,8,5,4,1,3,2,13,0
155,0.311,37,0,0,0,32,0,36,0,85,5,6,4,3,4,2,17,1
156,0.586,149,2,0,0,32,1,30,0,64,5,7,4,3,7,2,9,1
157,0.583,119,5,0,0,32,0,29,0,76,5,10,4,3,6,2,13,0
158,0.246,598,7,1,0,39,0,73,0,54,5,14,4,3,8,3,9,2
159,0.14,480,4,0,0,39,0,59,0,50,5,4,4,3,2,1,15,1
160,0.506,171,0,0,1,32,1,32,0,60,5,6,4,3,4,2,3,1
161,0.916,208,1,1,0,32,1,36,0,50,5,9,2,1,5,4,19,0
162,0.833,260,6,1,0,32,1,44,0,72,7,10,5,1,4,5,19,1
163,0.249,98,3,0,1,10,1,26,0,90,5,6,4,3,4,1,16,1
164,0.5,28,1,0,1,32,0,40,0,95,8,11,4,1,0,0,18,1
165,0.416,558,0,1,0,32,0,65,0,50,4,14,2,1,6,3,14,0
166,0.445,202,2,0,0,32,0,36,0,64,5,7,4,3,6,4,15,1
167,0.166,164,1,1,1,32,0,31,0,95,2,3,5,3,1,1,18,1
168,0.045,409,5,1,0,27,0,54,1,95,4,10,4,3,6,4,19,2
169,0.333,333,7,1,0,32,2,46,0,50,5,13,4,3,8,5,17,1
170,0.083,142,5,1,1,32,1,30,0,72,5,11,2,1,7,4,12,0
171,0.833,160,3,1,0,0,1,41,0,57,4,9,4,3,5,4,17,0
172,0.333,143,7,1,0,32,0,31,0,68,5,4,4,3,2,2,19,1
173,0.749,392,6,0,0,29,0,50,0,50,4,15,5,1,5,3,18,1
174,0.028,191,7,1,0,32,1,33,0,95,5,7,5,1,5,2,6,1
175,0.436,461,0,1,0,32,1,64,0,50,2,14,4,3,8,3,7,2
176,0.486,185,6,1,0,34,0,33,0,72,4,10,4,3,6,4,3,1
177,0.083,75,6,0,1,32,1,36,1,72,5,3,4,3,2,2,15,1
178,0.083,247,2,0,0,32,1,48,1,50,5,9,2,1,5,2,16,2
179,0.113,509,2,0,0,39,0,61,0,100,5,10,4,3,6,2,17,1
180,0.864,146,8,1,0,32,1,36,0,139,6,17,5,1,4,3,11,1
181,0.939,324,3,1,0,34,1,45,0,77,3,14,4,3,6,3,8,0
182,0.005,520,0,1,0,44,2,61,0,64,2,16,2,1,9,3,16,2
183,0.39,107,3,1,1,29,2,27,0,95,1,17,4,3,9,3,16,0
184,0.519,291,5,0,0,32,1,46,0,58,5,4,4,3,3,1,14,1
185,0.5,80,8,1,1,32,1,25,0,80,5,6,1,3,4,4,7,1
186,0.61,457,2,1,0,32,2,56,0,50,3,16,4,3,8,3,14,2
187,0.256,432,0,1,0,32,2,56,0,50,5,12,2,1,8,4,17,1
188,0.297,96,8,1,0,32,2,32,0,64,5,3,4,3,2,1,13,1
189,0.666,528,1,1,0,39,0,63,0,50,5,15,2,1,8,5,12,2
190,0.052,297,7,0,0,32,1,44,0,60,5,13,4,3,6,5,5,1
191,0.5,231,1,0,0,32,1,38,0,50,5,9,4,3,6,2,17,0
192,0.348,130,7,0,1,32,1,28,1,76,5,4,1,3,3,4,15,2
193,0.75,75,6,1,0,32,1,24,0,100,5,4,4,3,4,2,16,1
194,0.75,424,2,1,0,32,0,54,0,70,5,4,4,1,3,2,16,1
195,0.5,460,8,1,0,29,2,56,0,50,5,12,4,1,2,3,16,1
196,0.725,528,0,1,0,25,3,63,0,50,0,11,2,1,6,4,20,1
197,0.514,406,3,1,0,32,1,53,1,50,5,8,4,3,8,2,11,1
198,1,139,3,1,0,32,1,29,0,60,5,9,4,3,7,5,17,1
199,0.416,177,5,1,0,32,0,33,0,50,5,8,4,3,8,2,7,2
200,0.605,203,3,0,0,34,1,36,0,80,5,6,4,3,4,2,17,1
201,0.728,75,2,1,1,32,1,24,0,85,5,4,4,3,3,2,18,2
202,0.416,424,5,0,0,32,0,56,0,52,5,10,2,1,6,4,16,0
203,0.916,13,4,1,1,32,1,24,0,95,7,7,4,1,2,4,14,1
204,0.25,466,2,0,0,32,1,61,0,50,5,3,4,3,3,1,11,1
205,0.349,182,8,1,1,32,0,36,1,50,5,0,1,3,1,1,13,1
206,0.87,131,7,1,0,32,1,59,0,57,8,8,4,1,0,0,12,1
207,0.402,468,3,1,0,32,2,59,0,50,5,16,4,3,9,3,17,0
208,0.083,116,1,1,0,32,1,31,0,64,4,11,2,1,5,4,12,1
209,0.75,314,1,0,0,32,0,45,0,52,5,5,4,3,4,1,16,0
210,0.549,253,2,1,0,0,2,45,0,50,5,14,2,1,8,5,13,1
211,0.058,452,5,0,0,32,1,70,1,100,5,5,4,3,3,2,19,1
212,0.083,181,2,1,0,32,0,33,0,50,5,8,2,1,4,2,15,2
213,0.827,396,3,1,0,34,1,53,0,50,7,10,2,1,6,4,19,0
214,0.166,424,1,1,0,7,2,53,0,65,8,7,4,1,1,0,18,1
215,0.53,770,7,1,0,39,0,85,1,50,7,9,5,1,5,4,14,1
216,0.172,39,8,1,1,32,0,28,0,95,5,6,4,3,4,2,16,0
217,0.416,228,7,0,0,32,1,38,0,90,5,11,4,3,8,5,19,1
218,0.083,260,8,1,0,32,1,52,0,80,5,10,1,3,6,3,20,1
219,0.658,80,8,1,1,32,2,24,0,80,5,12,4,3,7,5,17,1
220,0.749,31,3,0,1,10,1,22,0,90,5,5,4,3,4,1,7,1
221,0.5,698,0,1,0,39,0,76,0,50,5,10,4,3,8,4,16,1
222,0.057,560,3,1,0,39,0,65,0,58,5,4,4,3,2,1,16,2
223,0.608,399,2,0,0,32,0,52,0,50,5,3,4,3,4,2,3,1
224,0.916,131,0,0,0,32,0,29,0,60,5,10,4,3,6,2,2,1
225,0.538,179,5,1,0,32,1,33,0,50,5,10,2,1,7,4,15,0
226,1,467,6,1,0,32,0,57,0,68,5,15,4,3,9,3,8,0
227,0.416,624,6,1,0,39,0,70,0,50,5,19,4,3,9,3,4,2
228,0.525,328,0,1,0,39,0,64,0,50,6,15,2,1,4,3,18,2
229,0.583,44,2,1,1,10,1,22,0,100,1,9,4,3,8,2,17,2
