rowIndex,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,ClaimAmount
0,0.749,513,4,1,0,39,0,62,0,100,5,9,4,3,8,5,14,0,0
1,0.166,298,3,1,0,32,2,44,0,60,7,11,4,3,7,5,3,0,0
2,0.125,485,0,1,0,32,2,58,0,85,6,19,2,1,8,3,10,2,0
3,0.583,588,3,0,0,0,1,73,0,50,5,10,4,3,7,2,6,2,0
4,0.499,135,1,1,0,44,2,29,0,76,1,11,4,3,8,4,14,2,0
5,0.083,229,8,1,0,29,2,42,0,95,8,6,1,3,0,0,6,1,0
6,0.166,183,6,1,1,34,1,33,0,72,8,8,4,1,0,0,15,1,0
7,1,166,8,1,1,32,1,32,0,106,5,10,4,3,7,5,13,1,0
8,0.333,411,2,1,0,32,1,56,0,50,5,4,4,3,4,2,19,0,0
9,0.716,529,1,1,1,39,0,62,0,50,5,6,4,3,6,2,15,0,437.72
10,0.002,97,4,1,1,32,1,27,0,90,5,4,4,1,3,2,5,1,0
11,0.116,156,7,0,0,32,1,31,0,68,5,4,4,3,3,2,15,0,0
12,0.25,383,0,1,0,27,2,55,0,50,7,9,2,1,5,4,9,1,0
13,0.043,591,2,1,0,32,1,67,0,50,5,10,4,3,7,5,17,0,0
14,0.442,436,7,1,0,34,1,64,0,50,5,10,4,3,6,5,5,1,0
15,0.916,177,4,1,0,32,0,35,0,100,5,10,4,3,7,5,17,0,0
16,0.431,437,5,1,0,32,2,55,0,50,8,7,4,1,2,4,15,1,0
17,0.547,254,8,1,1,32,1,41,0,100,5,10,4,3,7,3,18,1,0
18,0.583,545,1,0,0,39,0,68,0,50,5,6,4,3,4,2,16,1,0
19,0.5,407,6,1,0,32,1,57,0,50,5,3,4,3,2,2,11,1,0
20,0.252,305,4,1,0,32,0,44,1,50,5,7,2,1,5,2,17,1,0
21,1,506,3,0,0,39,0,60,0,72,5,10,4,3,6,4,16,1,0
22,0.666,445,8,0,0,7,1,56,0,60,5,5,4,1,3,2,19,1,0
23,0.249,115,5,1,1,32,1,28,0,90,5,6,4,3,6,2,2,1,0
24,0.333,354,8,1,0,32,0,48,1,76,5,8,4,1,3,5,20,1,0
25,0.416,277,0,1,0,25,3,41,0,50,6,18,2,1,8,3,16,0,0
26,0.166,290,8,1,0,39,0,61,1,54,5,1,1,3,2,2,15,1,0
27,0.219,101,6,0,1,32,1,27,0,147,5,4,4,3,3,2,3,1,0
28,0.519,417,1,0,0,29,2,63,0,50,5,4,4,3,3,2,18,1,0
29,0.749,513,7,0,0,39,0,63,1,50,5,6,4,3,4,2,10,1,0
30,0.113,139,8,1,1,32,1,34,0,112,5,6,4,1,3,2,18,1,0
31,0.166,98,8,0,1,27,0,44,1,76,5,6,4,3,2,2,10,2,0
32,0.8,104,3,1,1,32,1,26,0,68,5,7,2,1,5,2,14,1,963.06
33,0.51,321,8,1,0,32,1,45,1,50,5,12,4,3,7,5,15,1,0
34,0.749,438,0,0,0,34,0,57,0,50,5,4,4,3,3,4,4,1,0
35,0.55,278,6,0,0,0,1,41,0,76,3,10,4,3,6,4,13,1,0
36,0.722,204,5,0,0,32,1,39,0,100,5,7,4,1,4,2,15,1,0
37,1,173,3,0,1,32,1,32,0,64,5,3,4,3,3,1,15,1,0
38,0.666,111,8,1,0,32,1,33,0,80,8,13,4,1,1,0,11,1,0
39,0.062,294,8,1,0,34,0,46,0,50,5,1,1,3,0,2,18,1,342.74
40,0.568,201,3,1,0,34,0,35,0,57,4,12,5,1,3,3,15,1,0
41,0.499,341,7,0,0,32,0,58,0,50,6,18,4,3,5,3,16,0,0
42,0.17,124,5,0,0,32,1,29,0,60,5,9,4,3,4,2,13,1,0
43,0.75,357,2,1,1,32,2,50,0,70,5,12,4,3,8,5,20,2,0
44,0.249,98,3,0,1,10,1,26,0,90,5,6,4,3,4,1,16,1,0
45,0.5,422,3,1,0,39,0,66,0,61,5,4,4,3,4,2,16,1,0
46,0.166,342,8,1,1,27,2,65,0,83,8,10,4,1,0,0,17,1,0
47,0.5,202,7,1,1,29,2,35,0,73,2,22,4,3,9,3,14,2,0
48,0.37,621,8,1,1,34,0,70,0,64,5,8,1,3,5,4,7,1,0
49,0.195,81,3,0,1,34,1,24,0,72,5,5,4,1,3,2,13,1,0
50,0.583,562,2,1,0,32,2,64,0,50,5,16,4,3,9,3,17,2,0
51,0.169,640,1,1,0,39,0,73,0,50,5,11,4,3,7,2,14,1,0
52,1,450,1,1,0,0,2,55,0,50,6,12,2,1,4,5,16,1,0
53,0.083,17,4,0,1,34,1,28,0,100,5,4,4,3,4,2,14,0,0
54,0.318,409,1,1,0,32,0,59,0,95,5,8,4,3,6,4,12,1,0
55,0.083,230,0,1,1,0,2,40,0,90,5,14,2,1,8,5,1,0,0
56,0.416,189,0,1,0,32,2,37,0,50,3,11,2,1,5,4,20,1,0
57,0.25,470,1,1,0,29,2,57,0,64,5,8,4,3,6,2,9,1,0
58,0.315,151,7,1,0,32,1,31,0,90,5,6,4,3,4,4,17,1,0
59,0.117,429,2,1,0,0,2,54,0,50,5,14,4,3,8,3,16,1,0
60,0.143,372,8,1,0,32,0,59,1,50,5,16,4,3,8,3,12,0,0
61,0.002,159,8,0,1,32,1,39,0,80,2,11,5,3,6,5,10,1,0
62,0.075,123,8,0,1,32,1,29,0,76,5,5,1,3,4,4,20,2,0
63,0.087,239,7,1,0,34,1,44,1,60,5,14,5,3,8,3,20,0,0
64,0.73,533,3,0,0,0,1,62,1,50,5,3,4,3,3,1,10,1,0
65,0.747,195,8,0,1,32,0,34,0,100,5,2,1,3,2,2,20,1,0
66,0.788,234,2,0,0,32,2,39,0,85,7,12,2,1,6,5,20,1,0
67,0.215,224,0,1,1,0,2,37,0,68,6,17,4,3,7,3,16,2,0
68,0.214,399,4,1,0,34,0,51,0,50,5,15,2,1,8,3,15,0,0
69,0.239,138,3,1,1,32,0,31,0,85,5,14,5,3,9,5,8,1,0
