rowIndex,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,ClaimAmount
9,0.716,529,1,1,1,39,0,62,0,50,5,6,4,3,6,2,15,0,437.72
32,0.8,104,3,1,1,32,1,26,0,68,5,7,2,1,5,2,14,1,963.06
39,0.062,294,8,1,0,34,0,46,0,50,5,1,1,3,0,2,18,1,342.74
84,0.749,435,6,0,0,49,2,54,0,51,5,3,4,3,4,2,1,1,611.51
88,1.0,497,6,1,0,39,0,64,1,50,7,8,4,3,5,4,18,0,546.6833837
115,0.347,469,7,0,0,39,0,61,0,50,2,14,4,3,8,5,18,1,3835.0
123,0.749,501,0,1,0,0,2,60,0,52,2,15,4,3,9,5,9,1,90.4305136
129,0.524,448,8,1,0,28,2,65,0,50,7,6,4,1,1,4,16,1,3230.68
166,0.926,227,3,0,1,32,1,42,0,90,5,9,4,3,7,4,10,1,992.5323263
288,0.177,126,8,0,1,34,1,29,0,80,5,6,1,3,5,4,16,1,168.96
292,0.971,56,4,1,1,32,1,23,0,100,6,12,4,3,5,3,12,1,1204.0
340,0.583,303,4,1,0,34,1,58,0,50,5,7,4,3,6,4,11,1,344.755287
341,0.368,308,8,1,0,32,1,43,0,50,3,12,4,3,5,3,17,1,1944.57
354,0.997,26,3,0,1,32,1,25,0,118,5,7,4,1,4,4,20,1,7015.7
395,0.249,508,6,1,0,39,0,64,0,85,5,4,4,3,3,2,10,0,1300.0
458,0.773,163,4,0,0,32,1,33,0,80,5,4,4,3,3,1,9,1,2568.002719
462,0.218,87,0,0,1,34,0,25,0,80,5,4,4,1,3,2,20,1,1876.170997
487,0.083,450,4,0,0,32,1,57,0,50,5,6,4,3,4,2,15,1,1888.577946
491,0.083,365,3,0,0,39,0,79,0,50,5,1,4,3,2,1,1,1,603.0
508,0.75,72,2,1,1,32,1,24,0,76,5,9,2,1,6,2,7,1,225.3752266
524,0.416,106,7,0,0,32,3,39,0,93,1,12,4,3,7,4,8,1,1150.0
533,0.666,460,7,0,0,32,0,57,0,112,5,11,4,3,5,2,7,0,2408.0
570,0.249,166,2,0,0,32,1,32,0,90,5,8,4,3,6,4,15,2,917.7253776
601,0.333,368,1,0,1,32,1,56,0,95,5,2,4,3,3,1,11,1,6613.492749
616,0.771,616,4,1,0,39,0,73,0,50,5,12,4,3,7,5,12,0,4363.887915
